key,category,description,status,detail
brand_phase,tokens,BRAND phase advanced to branded tables and transaction footer polish,pass,368
light_table_tokens,tokens,light palette includes Phase 355 table/footer tokens,pass,
dark_table_tokens,tokens,dark palette includes Phase 355 table/footer tokens,pass,
table_identity_token_table_current_bg,token,Background for the exact active editable cell.,pass,table_current_bg
table_identity_token_table_current_border,token,Border/indicator for the current cell.,pass,table_current_border
table_identity_token_table_current_text,token,Readable text color inside the current editable cell.,pass,table_current_text
table_identity_token_table_focus_ring,token,Secondary focus ring for editors embedded inside grids.,pass,table_focus_ring
table_identity_token_table_header_line,token,Thin identity accent under table headers.,pass,table_header_line
table_identity_token_table_row_hover_bg,token,Soft hover surface for dense accounting rows.,pass,table_row_hover_bg
table_identity_token_transaction_footer_surface,token,Outer transaction footer panel surface.,pass,transaction_footer_surface
table_identity_token_transaction_footer_summary_bg,token,Summary/payment strip surface.,pass,transaction_footer_summary_bg
table_identity_token_transaction_footer_summary_border,token,Summary/payment strip border.,pass,transaction_footer_summary_border
table_identity_token_transaction_footer_label,token,Footer label/caption color.,pass,transaction_footer_label
table_identity_token_transaction_footer_value,token,Footer financial value color.,pass,transaction_footer_value
table_identity_token_transaction_footer_primary_bg,token,Primary bottom command button color.,pass,transaction_footer_primary_bg
table_identity_token_transaction_footer_secondary_bg,token,Secondary bottom command button surface.,pass,transaction_footer_secondary_bg
table_identity_token_transaction_footer_close_bg,token,Close/cancel button neutral surface.,pass,transaction_footer_close_bg
table_identity_runtime_table_property,runtime,Custom/Smart tables opt in to branded table QSS.,pass,brand_table_surface
table_identity_runtime_entry_table_property,runtime,Editable transaction grids expose a stronger current-cell profile.,pass,brand_entry_table
table_identity_runtime_transaction_grid_name,runtime,Transaction document line grid keeps a stable object name.,pass,TransactionLineGrid
table_identity_footer_footer_panel,footer,Invoice-like documents expose the unified footer panel.,pass,TransactionFooterPanel
table_identity_footer_summary_frame,footer,Totals frame is horizontally branded.,pass,TransactionHorizontalSummaryFrame
table_identity_footer_payment_frame,footer,Payment frame uses same summary visual system.,pass,TransactionHorizontalPaymentFrame
table_identity_footer_bottom_actions,footer,Bottom command buttons are a unified action surface.,pass,TransactionBottomActionBar
table_identity_footer_action_role,footer,Buttons carry semantic action roles for QSS.,pass,transaction_action
file_table_identity,file,Required branded table/footer runtime file exists,pass,alrajhi_client/theme/table_identity.py
file_brand,file,Required branded table/footer runtime file exists,pass,alrajhi_client/theme/brand.py
file_qss,file,Required branded table/footer runtime file exists,pass,alrajhi_client/theme/qss.py
file_custom_table_view,file,Required branded table/footer runtime file exists,pass,alrajhi_client/views/custom_table_view.py
file_table_keyboard_policy,file,Required branded table/footer runtime file exists,pass,alrajhi_client/ui/table_keyboard_policy.py
file_transaction_document_tab,file,Required branded table/footer runtime file exists,pass,alrajhi_client/features/transactions/transaction_document_tab.py
file_transaction_totals_panel,file,Required branded table/footer runtime file exists,pass,alrajhi_client/features/transactions/components/transaction_totals_panel.py
file_transaction_bottom_actions,file,Required branded table/footer runtime file exists,pass,alrajhi_client/features/transactions/components/transaction_bottom_actions.py
qss_Phase355: branded table surface and ,qss,QSS contains Phase355: branded table surface and active editable cell,pass,Phase355: branded table surface and active editable cell
qss_Phase355: branded transaction footer,qss,QSS contains Phase355: branded transaction footer and bottom commands,pass,Phase355: branded transaction footer and bottom commands
qss_brand_table_surface,qss,QSS contains brand_table_surface,pass,brand_table_surface
qss_brand_entry_table,qss,QSS contains brand_entry_table,pass,brand_entry_table
qss_table_current_bg,qss,QSS contains table_current_bg,pass,table_current_bg
qss_transaction_footer_primary_bg,qss,QSS contains transaction_footer_primary_bg,pass,transaction_footer_primary_bg
object_table_property,runtime,Custom/Smart tables opt in to branded table QSS.,pass,brand_table_surface
object_entry_table_property,runtime,Editable transaction grids expose a stronger current-cell profile.,pass,brand_entry_table
object_transaction_grid_name,runtime,Transaction document line grid keeps a stable object name.,pass,TransactionLineGrid
object_footer_panel,footer,Invoice-like documents expose the unified footer panel.,pass,TransactionFooterPanel
object_summary_frame,footer,Totals frame is horizontally branded.,pass,TransactionHorizontalSummaryFrame
object_payment_frame,footer,Payment frame uses same summary visual system.,pass,TransactionHorizontalPaymentFrame
object_bottom_actions,footer,Bottom command buttons are a unified action surface.,pass,TransactionBottomActionBar
object_action_role,footer,Buttons carry semantic action roles for QSS.,pass,transaction_action
runtime_custom_table_view_brand_table_surface,runtime,alrajhi_client/views/custom_table_view.py uses brand_table_surface,pass,brand_table_surface
runtime_custom_table_view_brand_table_density,runtime,alrajhi_client/views/custom_table_view.py uses brand_table_density,pass,brand_table_density
runtime_custom_table_view_StandardTableKeyboardMixin,runtime,alrajhi_client/views/custom_table_view.py uses StandardTableKeyboardMixin,pass,StandardTableKeyboardMixin
runtime_custom_table_view_Phase389,runtime,alrajhi_client/views/custom_table_view.py uses Phase389,pass,Phase389
runtime_table_keyboard_policy_brand_entry_table,runtime,alrajhi_client/ui/table_keyboard_policy.py uses brand_entry_table,pass,brand_entry_table
runtime_table_keyboard_policy_current_cell_highlight,runtime,alrajhi_client/ui/table_keyboard_policy.py uses current_cell_highlight,pass,current_cell_highlight
runtime_table_keyboard_policy_standard_initial_entry_focus,runtime,alrajhi_client/ui/table_keyboard_policy.py uses standard_initial_entry_focus,pass,standard_initial_entry_focus
runtime_transaction_document_tab_TransactionFooterPanel,runtime,alrajhi_client/features/transactions/transaction_document_tab.py uses TransactionFooterPanel,pass,TransactionFooterPanel
runtime_transaction_document_tab_TransactionFooterNotes,runtime,alrajhi_client/features/transactions/transaction_document_tab.py uses TransactionFooterNotes,pass,TransactionFooterNotes
runtime_transaction_document_tab_transaction_footer_role,runtime,alrajhi_client/features/transactions/transaction_document_tab.py uses transaction_footer_role,pass,transaction_footer_role
runtime_transaction_totals_panel_TransactionHorizontalSummary,runtime,alrajhi_client/features/transactions/components/transaction_totals_panel.py uses TransactionHorizontalSummaryFrame,pass,TransactionHorizontalSummaryFrame
runtime_transaction_totals_panel_TransactionHorizontalPayment,runtime,alrajhi_client/features/transactions/components/transaction_totals_panel.py uses TransactionHorizontalPaymentFrame,pass,TransactionHorizontalPaymentFrame
runtime_transaction_totals_panel_TransactionSummaryCaption,runtime,alrajhi_client/features/transactions/components/transaction_totals_panel.py uses TransactionSummaryCaption,pass,TransactionSummaryCaption
runtime_transaction_totals_panel_TransactionSummaryValue,runtime,alrajhi_client/features/transactions/components/transaction_totals_panel.py uses TransactionSummaryValue,pass,TransactionSummaryValue
runtime_transaction_totals_panel_transaction_footer_role,runtime,alrajhi_client/features/transactions/components/transaction_totals_panel.py uses transaction_footer_role,pass,transaction_footer_role
runtime_transaction_bottom_actions_TransactionBottomActionBar,runtime,alrajhi_client/features/transactions/components/transaction_bottom_actions.py uses TransactionBottomActionBar,pass,TransactionBottomActionBar
runtime_transaction_bottom_actions_transaction_action,runtime,alrajhi_client/features/transactions/components/transaction_bottom_actions.py uses transaction_action,pass,transaction_action
runtime_transaction_bottom_actions_transaction_footer_role,runtime,alrajhi_client/features/transactions/components/transaction_bottom_actions.py uses transaction_footer_role,pass,transaction_footer_role
runtime_transaction_bottom_actions_setMinimumWidth(126),runtime,alrajhi_client/features/transactions/components/transaction_bottom_actions.py uses setMinimumWidth(126),pass,setMinimumWidth(126)
